,,,,,DAE PROJECT,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,A-Refesh Rate,,B-Brightness,,C-RESOLUTION,,D-SPEAKER VOL.,,RATE,,,,,,
,,60Hz(Low),144Hz(High),0(Low),100(High),900x600p,1920x1080p,NO(MUTE),YES(75%VOL),(%DISCHARGE/Hrs.),,,Multiple levels of significant factors,,,
,1,,,,,,,,,31.08,,,A-Refesh Rate,B-Brightness,,
,a,,,,,,,,,39.84,,,RATE,L1- 0,L2 -50,L3 -100
,b,,,,,,,,,37.68,,,144,42.44,50.11,63.2
,ab,,,,,,,,,59.68,,,90,36.3,42.1,49.8
,c,,,,,,,,,31.32,,,60,34.1,35.7,37.89
,ac,,,,,,,,,37.32,,,,,,
,bc,,,,,,,,,35.4,,,,,,
,abc,,,,,,,,,56.72,,,,,,
,d,,,,,,,,,34.2,,,,,,
,ad,,,,,,,,,43.08,,,,,,
,bd,,,,,,,,,38.52,,,,,,
,abd,,,,,,,,,61.36,,,,,,
,cd,,,,,,,,,32.76,,,,,,
,acd,,,,,,,,,39,,,,,,
,bcd,,,,,,,,,37.08,,,,,,
,abcd,,,,,,,,,60.04,,,,,,
